frame_id,object_id,tx,ty,tz,qx,qy,qz,qw,gt_tx,gt_ty,gt_tz,gt_qx,gt_qy,gt_qz,gt_qw
1,1,-0.0214012,0.0653586,0.603776,0.00131197,-0.011028,0.00113342,0.999938,-0.0319531,-0.0935244,0.541325,-0.00223024,-0.0109329,0.000314013,0.999938
1,2,-0.322792,-0.0421409,0.453254,-0.00385394,0.0239384,0.00423156,0.999697,-0.0151305,-0.0378003,0.363548,-0.00223284,-0.0023936,0.000294957,0.999995
1,3,-0.174419,-0.157845,0.461543,-0.0149721,0.012711,-0.00732458,0.99978,-0.0707931,-0.0630182,0.127724,-0.0022332,-0.00119211,0.000292274,0.999997
2,1,-0.0655841,0.0412317,0.565288,0.00184249,-0.00924723,-0.00140756,0.999955,-0.0176313,-0.0953428,0.520239,-0.00531046,-0.00921828,0.000176272,0.999943
2,2,-0.07745,-0.0380579,0.408239,-0.00433847,0.00140109,-0.00419605,0.999981,-0.00554074,-0.041513,0.341868,-0.00531636,-0.000678821,9.27237e-05,0.999986
3,1,0.0263469,0.01563,0.62245,0.00141229,-0.0130889,-0.00302261,0.999909,-0.00309545,-0.105834,0.531649,-0.00401533,-0.0092786,-0.00155695,0.999948
3,2,-0.268335,0.107837,0.436423,0.00688714,0.0154614,-0.00770416,0.999827,0.00486777,-0.0534637,0.353034,-0.0040071,-0.000740298,-0.00172019,0.99999
4,1,-0.106794,0.0640526,0.519048,0.00257554,-0.00714584,-0.00145199,0.99997,0.0173929,0.00462468,0.553973,-0.000252006,-0.0100187,3.01413e-05,0.99995
4,2,0.069563,-0.070135,0.403092,-0.00656723,-0.00990716,-0.00463585,0.999919,0.00896776,-0.0535654,0.371817,-0.000227078,-0.00148119,-0.000169139,0.999999
5,1,-0.0442368,0.0348578,0.528339,0.000528468,-0.00918338,0.000395439,0.999958,-0.00850751,0.0122779,0.505054,0.00109968,-0.00932138,-0.000225983,0.999956
5,2,-0.0949209,0.0279287,0.382296,-0.00106642,0.00125189,-0.0111921,0.999936,0.179918,0.0082698,0.29311,0.00106872,-0.0179823,-3.1666e-05,0.999838
6,1,0.0514375,0.0693738,0.527716,0.00161663,-0.0117178,0.00103491,0.99993,-0.0942104,-0.019477,0.443954,0.000635713,-0.00692342,0.00140481,0.999975
6,2,-0.0262713,0.164232,0.294114,0.00673939,-0.00608929,-0.0237677,0.999676,0.183536,0.0198082,0.274391,0.000605556,-0.0179256,0.00163175,0.999838
7,1,0.0332424,0.126064,0.519403,0.00379521,-0.0114061,0.00165161,0.999926,-0.100416,0.0320788,0.47213,0.00182745,-0.00741486,-0.000335865,0.999971
7,2,1.42242,0.210719,0.278696,0.012017,-0.0957901,-0.0156248,0.995206,0.185562,0.0281417,0.30746,0.00180582,-0.0184181,-0.000136155,0.999829
8,1,-0.0619082,0.0347432,0.56924,0.00163036,-0.00903989,-0.00226638,0.999955,-0.0936445,0.0472612,0.425469,0.00165252,-0.00653127,-0.00082003,0.999977
8,2,0.368147,-0.0352408,0.333875,-0.00412442,-0.0286857,-0.0112389,0.999517,0.201004,0.0159697,0.264741,0.00161568,-0.0175352,-0.000658955,0.999845
9,1,-0.0331554,0.0127881,0.445352,0.000664417,-0.0080495,-0.00109456,0.999967,-0.09596,-0.00534561,0.44984,0.000643967,-0.00648107,-0.00200464,0.999977
9,2,-0.024678,0.111518,0.359549,0.00547551,-0.00508409,0.000603303,0.999972,0.207665,0.0135171,0.291248,0.000574256,-0.0174852,-0.00186937,0.999845
10,1,-0.0489072,0.0120358,0.506039,0.00111098,-0.00842773,-0.00243587,0.999961,-0.100074,0.118504,0.470486,0.00317425,-0.0069641,0.00107312,0.99997
10,2,0.0332625,0.0133194,0.35293,0.000926571,-0.00807342,0.0119372,0.999896,0.00386597,0.0124432,0.372858,0.00317073,-0.00743956,0.00107709,0.999967
11,1,-0.0102714,0.0345093,0.479542,0.00156877,-0.00908391,-0.00146419,0.999956,-0.041977,0.0116407,0.458136,0.000302727,-0.00736771,0.00125479,0.999972
11,2,-0.145899,-0.066314,0.306203,-0.00221434,0.000929076,0.0141307,0.999897,0.021649,0.00882895,0.368449,0.000304028,-0.00711573,0.00125359,0.999974
12,1,0.0465685,0.00210507,0.47418,-0.000334188,-0.0101968,0.000672476,0.999948,-0.038639,-0.00727685,0.46679,-0.00255133,-0.00697466,0.00122835,0.999972
12,2,-0.778718,0.00818583,0.470039,0.000109542,0.0329012,0.00532791,0.999444,0.0256257,-0.0103904,0.377565,-0.00255064,-0.00672317,0.0012266,0.999973
13,1,-0.162152,0.0236363,0.368263,0.00123928,-0.0040455,-0.00143717,0.99999,-0.0318404,-0.0211827,0.50055,-0.00169659,-0.00759612,-6.05674e-05,0.99997
13,2,-0.438786,0.295928,0.405628,0.0144365,0.0141541,0.0048183,0.999784,0.0331503,-0.024611,0.41186,-0.00169616,-0.00734464,-6.33834e-05,0.999972
14,1,-0.0189842,0.0729624,0.546723,0.00125932,-0.00929218,0.00111032,0.999955,-0.0446791,-0.00544492,0.451682,0.000514916,-0.00732922,0.000957735,0.999973
14,2,0.0607128,-0.0305964,0.426019,-0.00189033,-0.00960813,0.011364,0.999887,0.0209755,-0.00866078,0.36351,0.00051517,-0.00707775,0.000954629,0.999974
15,1,0.0138486,0.0938947,0.495478,0.00162882,-0.00937038,0.00166854,0.999953,-0.0475333,-0.01067,0.442666,0.000620638,-0.00727414,0.000455513,0.999973
15,2,0.100795,-0.0264674,0.425504,-0.00219185,-0.0117564,0.00813171,0.999895,0.250113,0.0183603,0.365146,0.000623282,-0.0189383,0.000586291,0.99982
16,1,-0.0160969,0.0335173,0.413447,0.000180164,-0.00757669,0.00122893,0.999971,-0.216914,-0.157492,0.399538,-0.00182329,-0.00275243,-0.00178471,0.999993
16,2,0.213215,0.0288995,0.400748,0.000429806,-0.016873,0.0132489,0.99977,0.253217,0.00144916,0.422985,-0.00184263,-0.0189965,-0.00158267,0.999817
