frame_id,tx,ty,tz,qx,qy,qz,qw,gt_tx,gt_ty,gt_tz,gt_qx,gt_qy,gt_qz,gt_qw
1,-0.013756,0.00406275,0.36052,-0.00222336,-0.00737565,0.000104404,0.99997,-0.0116141,-0.00264994,0.342713,-0.00223119,-0.00789451,0.000307235,0.999966
2,-0.0296479,0.00300702,0.73024,-0.0075788,-0.0137894,0.000307851,0.999876,-0.0138078,-0.00560285,0.662746,-0.00754428,-0.0140728,0.000481919,0.999872
3,-0.0579876,0.00525977,1.0923,-0.0117441,-0.0203427,-0.00164464,0.999723,-0.00568288,-0.018991,0.993066,-0.0115817,-0.0202982,-0.00112355,0.999726
4,-0.0854302,-0.000704061,1.4354,-0.0124573,-0.027016,-0.00198487,0.999555,0.00496206,-0.0374163,1.34154,-0.0118175,-0.0272767,-0.00124019,0.999557
5,-0.115648,0.00816028,1.77493,-0.0111528,-0.0336415,-0.00245521,0.999369,-0.0138935,-0.0511962,1.64071,-0.0107074,-0.0335523,-0.00163871,0.999378
6,-0.149613,0.022748,2.11325,-0.0103886,-0.0400223,-0.00119608,0.999144,-0.0401718,-0.0531182,1.91869,-0.0100131,-0.0397881,-0.000337173,0.999158
7,-0.190859,0.0300798,2.44421,-0.00882678,-0.0462869,-0.00149214,0.998888,-0.0771486,-0.0513891,2.22651,-0.00819724,-0.0464959,-0.000825411,0.998885
8,-0.235678,0.0410846,2.77694,-0.00716612,-0.0524803,-0.0024146,0.998593,-0.106836,-0.0617117,2.48877,-0.00657788,-0.0523147,-0.00177947,0.998607
9,-0.291385,0.0498367,3.10823,-0.00623417,-0.0585432,-0.00436177,0.998256,-0.139679,-0.0691228,2.7749,-0.0060253,-0.0580759,-0.00386179,0.998287
10,-0.342444,0.0668132,3.43965,-0.00349629,-0.0645,-0.00380752,0.997904,-0.182781,-0.0754319,3.08323,-0.00276499,-0.064325,-0.00301863,0.997921
11,-0.386817,0.0788278,3.77637,-0.00310352,-0.0709062,-0.00255191,0.997475,-0.210076,-0.0697837,3.38699,-0.00235729,-0.0702577,-0.00180956,0.997524
12,-0.443396,0.0819005,4.10424,-0.00547382,-0.0766639,-0.00107674,0.997041,-0.23457,-0.0645944,3.69993,-0.00480271,-0.0758009,-0.000428229,0.997111
13,-0.511369,0.0808,4.42522,-0.00722446,-0.0823409,-0.000809799,0.996578,-0.259883,-0.0779551,4.04626,-0.00649501,-0.0819541,-0.000405737,0.996615
14,-0.579551,0.0851691,4.74243,-0.00675586,-0.0884732,-7.29629e-05,0.996056,-0.299553,-0.0926064,4.34365,-0.00590085,-0.0878439,0.000450562,0.996117
15,-0.652784,0.0913322,5.05462,-0.00625343,-0.0943751,-0.000344162,0.995517,-0.344635,-0.113214,4.63186,-0.00524687,-0.0936723,0.000799377,0.995589
16,-0.737488,0.0968416,5.37371,-0.00800555,-0.099775,-0.00160045,0.994977,-0.399926,-0.126248,4.97393,-0.00723401,-0.0995418,-0.000798286,0.995007
