frame_id,object_id,tx,ty,tz,qx,qy,qz,qw,gt_tx,gt_ty,gt_tz,gt_qx,gt_qy,gt_qz,gt_qw
2,1,0.140601,0.108091,0.586636,0.00234444,-0.0157054,0.00371514,0.999867,-0.0176313,-0.0953428,0.520239,-0.00531046,-0.00921828,0.000176272,0.999943
2,2,-0.0636586,-0.0319453,0.403948,-0.00231809,-0.00127922,0.00260741,0.999993,-0.00554074,-0.041513,0.341868,-0.00531636,-0.000678821,9.27237e-05,0.999986
3,1,0.140617,0.108094,0.586617,0.00231366,-0.0156532,0.00370201,0.999868,-0.00309545,-0.105834,0.531649,-0.00401533,-0.0092786,-0.00155695,0.999948
3,2,-0.063664,-0.0319439,0.403951,-0.00232144,-0.0012983,0.00260946,0.999993,0.00486777,-0.0534637,0.353034,-0.0040071,-0.000740298,-0.00172019,0.99999
4,1,0.140653,0.108102,0.586575,0.00224088,-0.0155347,0.00367182,0.99987,0.0173929,0.00462468,0.553973,-0.000252006,-0.0100187,3.01413e-05,0.99995
4,2,-0.0636752,-0.03194,0.403961,-0.00233178,-0.00134045,0.00261462,0.999993,0.00896776,-0.0535654,0.371817,-0.000227078,-0.00148119,-0.000169139,0.999999
5,1,0.140729,0.10811,0.586461,0.00213874,-0.015345,0.00362814,0.999873,-0.00850751,0.0122779,0.505054,0.00109968,-0.00932138,-0.000225983,0.999956
5,2,-0.063693,-0.0319346,0.403982,-0.00234394,-0.00141251,0.00262256,0.999993,0.179918,0.0082698,0.29311,0.00106872,-0.0179823,-3.1666e-05,0.999838
6,1,0.140841,0.108111,0.586277,0.00204511,-0.0151031,0.00358504,0.999877,-0.0942104,-0.019477,0.443954,0.000635713,-0.00692342,0.00140481,0.999975
6,2,-0.0637217,-0.0319284,0.404019,-0.00235463,-0.00153518,0.00263425,0.999993,0.183536,0.0198082,0.274391,0.000605556,-0.0179256,0.00163175,0.999838
7,1,0.140981,0.10811,0.586035,0.0019522,-0.0148326,0.00353929,0.999882,-0.100416,0.0320788,0.47213,0.00182745,-0.00741486,-0.000335865,0.999971
7,2,-0.0637645,-0.0319203,0.404082,-0.00236575,-0.00172669,0.00265133,0.999992,0.185562,0.0281417,0.30746,0.00180582,-0.0184181,-0.000136155,0.999829
8,1,0.141147,0.108105,0.585739,0.00185618,-0.0145555,0.00349103,0.999886,-0.0936445,0.0472612,0.425469,0.00165252,-0.00653127,-0.00082003,0.999977
8,2,-0.0638225,-0.0319086,0.404179,-0.00238178,-0.00199901,0.00267513,0.999992,0.201004,0.0159697,0.264741,0.00161568,-0.0175352,-0.000658955,0.999845
9,1,0.141328,0.108097,0.585403,0.00176568,-0.0142954,0.00344555,0.99989,-0.09596,-0.00534561,0.44984,0.000643967,-0.00648107,-0.00200464,0.999977
9,2,-0.0638971,-0.0318987,0.404316,-0.00237924,-0.00236263,0.00270252,0.999991,0.207665,0.0135171,0.291248,0.000574256,-0.0174852,-0.00186937,0.999845
10,1,0.141516,0.108086,0.585045,0.00168134,-0.0140793,0.00340623,0.999894,-0.100074,0.118504,0.470486,0.00317425,-0.0069641,0.00107312,0.99997
10,2,-0.0639808,-0.031897,0.404493,-0.0023318,-0.00278521,0.00272794,0.99999,0.00386597,0.0124432,0.372858,0.00317073,-0.00743956,0.00107709,0.999967
11,1,0.141704,0.108074,0.58468,0.00160423,-0.0139039,0.00337383,0.999896,-0.041977,0.0116407,0.458136,0.000302727,-0.00736771,0.00125479,0.999972
11,2,-0.0640649,-0.0319005,0.404712,-0.0022498,-0.00322916,0.00275022,0.999988,0.021649,0.00882895,0.368449,0.000304028,-0.00711573,0.00125359,0.999974
