frame_id,object_id,tx,ty,tz,qx,qy,qz,qw,gt_tx,gt_ty,gt_tz,gt_qx,gt_qy,gt_qz,gt_qw
1,1,-4.35885,1.02309,13.1281,0,0,0,1,-4.87746,1.82162,13.8406,-0.00206358,-0.279505,0.000902356,0.960142
1,2,1.64485,0.337225,5.95178,0,0,0,1,1.59662,1.66461,6.14005,-0.00221436,-0.054697,0.000411346,0.9985
2,1,-4.63573,1.036,13.5759,0.00234444,-0.0157054,0.00371514,0.999867,-5.14991,1.87092,14.2485,-0.0071213,-0.288335,0.00253683,0.9575
2,2,1.5641,0.341412,6.35827,-0.00231809,-0.00127922,0.00260741,0.999993,1.58244,1.6886,6.46603,-0.00751793,-0.055372,0.000793211,0.998437
3,1,-4.92518,1.04568,14.0152,0.00465747,-0.0313543,0.00741653,0.99947,-5.41035,1.8955,14.6666,-0.0114381,-0.297183,0.0021376,0.95475
3,2,1.48205,0.34711,6.76459,-0.00463954,-0.0025775,0.0052168,0.999972,1.58363,1.68147,6.80769,-0.0116145,-0.0560945,-0.000707982,0.998358
4,1,-5.22493,1.05352,14.4463,0.00689648,-0.0468762,0.0110875,0.998815,-5.68584,1.90716,15.1083,-0.0116906,-0.306733,0.00212656,0.951721
4,2,1.39832,0.35442,7.17078,-0.00697148,-0.00391787,0.00783109,0.999937,1.573,1.63047,7.1834,-0.0118497,-0.0575714,-0.000881308,0.998271
5,1,-5.53239,1.06064,14.8698,0.00903174,-0.0621959,0.0147155,0.997915,-5.97419,1.88895,15.5089,-0.0107326,-0.315591,0.00146512,0.948834
5,2,1.3124,0.363382,7.57693,-0.00931601,-0.00533019,0.0104528,0.999888,1.49363,1.62323,7.5319,-0.0107668,-0.075512,-0.00118739,0.997086
6,1,-5.84544,1.06697,15.2862,0.0110722,-0.0772575,0.0183005,0.996782,-6.28784,1.83272,15.871,-0.00969592,-0.322168,0.00252308,0.946629
6,2,1.22338,0.373989,7.98312,-0.0116723,-0.00686508,0.0130849,0.999823,1.4009,1.63831,7.85686,-0.0100168,-0.09339,0.000201065,0.995579
7,1,-6.16256,1.07272,15.696,0.0130188,-0.0920298,0.0218397,0.995432,-6.62176,1.81125,16.2547,-0.00809264,-0.329179,0.00154443,0.944232
