label,samples
anms_timer [ms], 3 4 4 4 4 4 4 4 4 4 4 4 4 5 4 4 5 4 4 4 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 4 4 4 4 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 4 4 3 3 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
backend-pipeline [ms], 0 0 7 11 33 26 31 34 39 49 48 54 58 63 65 68 69 76 78 83 84 90 5774 99 102 108 105 97 99 98 105 104 106 109 122 114 118 124 4891 128 131 134 136 148 147 151 159 153 150 154 149 143 147 148 4221 158 160 166 165 165 167 170 179 179 183 193 195 207 220 218 5333 221 233 232 227 232 237 240 239 235 232 232 233 238 240 233 5668 242 236 237 239 240 239 251 243
backend-viz-pipeline [ms], 1104 513 434 416 497 602 551 569 596 562 600 657 605 604 744 663 699 533 574 6307 677 629 593 524 470 478 429 423 409 450 562 483 449 553 534 5315 513 532 541 518 546 582 647 572 596 446 446 439 404 426 447 4514 496 511 517 478 465 496 519 526 680 609 718 764 778 903 881 5998 810 781 836 1225 800 777 782 666 601 569 576 510 506 505 509 5911 492 481 466 466 468 486 469 400
backend.sliding_window_construction [ms], 511 449 412 465 610
backend.update_dynamic_obs [ms], 0 19 12 14 13 16 20 18 20 20 22 21 20 18 20 20 21 20 22 22 21 22 21 19 12 10 9 11 11 11 12 13 12 14 17 16 16 16 17 17 19 20 20 23 19 14 13 10 7 7 9 10 10 11 10 11 11 12 13 14 14 15 22 21 27 34 30 31 28 32 29 26 26 26 26 20 18 16 14 12 11 11 10 11 11 11 11 11 11 10 10 7
backend.update_static_obs [ms], 2 1 1 1 1 1 2 1 1 2 1 1 1 2 1 2 2 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 3 3 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 2
data-interface [ms], 58 55 106 510 430 503 435 414 498 600 553 566 594 560 608 652 606 605 750 660 694 535 569 6309 678 628 598 522 477 477 428 427 405 450 562 483 448 552 534 5314 514 534 537 520 549 573 646 575 598 450 449 438 404 428 445 4517 493 510 518 480 462 497 517 523 681 606 717 761 773 906 880 5992 812 781 838 1227 799 788 775 669 601 570 578 519 499 503 511 5913 493 478 467 465 469 487 816
data-interface_queue_size #, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dataset_spin [ms], 58 55 54 63 55 54 55 54 54 55 56 55 55 59 58 55 56 55 56 56 55 58 55 55 55 56 56 56 55 56 55 56 56 55 56 56 55 56 57 56 56 57 56 58 62 59 56 57 57 57 57 57 56 59 56 58 56 56 55 58 56 55 56 56 55 56 57 55 58 57 56 54 54 54 55 55 55 58 56 55 54 54 54 57 55 55 55 55 59 53 55 55 55 55
depth_updater [ms], 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dynamic_feature_track [ms], 7 10 9 9 9 9 8 8 8 8 9 9 9 9 9 9 9 9 9 9 10 9 9 9 9 8 8 8 8 7 7 7 7 7 8 8 8 7 8 7 8 8 8 9 8 8 7 7 7 6 6 6 7 7 8 7 8 7 7 7 7 7 8 10 10 9 10 10 10 10 9 9 9 9 8 8 8 8 7 7 6 6 6 6 6 5 5 6 5 5 5 6 5 5
frontend-pipeline [ms], 0 51 431 361 411 350 325 406 502 443 459 480 439 479 528 478 477 608 520 553 389 420 476 520 465 428 357 318 317 271 260 241 285 393 300 275 374 350 362 324 341 343 321 336 363 435 355 385 239 232 228 201 217 237 232 275 290 293 252 237 269 286 284 441 364 463 507 504 625 601 601 533 490 546 942 508 484 475 371 308 280 287 221 203 204 219 184 188 184 170 168 171 189 160 152
frontend-viz-pipeline [ms], 671 437 481 441 411 495 594 545 568 589 554 605 650 601 603 739 661 693 531 568 625 6351 623 589 526 479 476 429 418 408 449 559 474 454 549 527 547 5279 528 537 515 536 578 645 566 601 448 442 445 411 420 448 440 4561 509 513 478 463 495 515 516 685 607 711 760 757 909 872 880 5921 770 842 1227 791 772 778 667 605 571 576 512 499 501 517 476 5917 489 464 464 468 486 460 407 239
map.update_observations [ms], 6 4 5 4 5 6 5 6 6 6 6 6 7 6 7 7 7 7 7 7 7 6 6 7 6 4 4 4 5 5 4 5 5 4 5 5 5 5 5 5 5 8 6 6 7 6 5 4 4 4 4 4 4 5 5 5 4 4 5 5 5 6 7 8 8 8 13 9 9 9 8 8 7 8 8 7 6 7 5 5 4 4 4 3 3 3 3 3 3 3 3 3 4
motion_solver.joint_of_pose [ms], 33 28 5 1 34 47 5 37 51 8 39 41 5 37 42 7 46 41 13 36 43 14 49 50 13 42 50 17 39 52 20 33 48 26 43 61 19 41 61 15 49 42 20 45 42 13 50 48 20 55 53 20 43 47 19 48 49 15 46 52 14 45 55 19 45 43 22 41 36 19 44 37 18 40 31 19 37 23 8 38 17 7 52 11 7 40 13 8 44 13 9 45 21 12 46 20 7 38 26 10 36 28 6 44 21 7 47 32 7 36 31 6 31 31 6 34 34 11 41 37 13 30 37 10 33 42 13 33 49 8 36 38 12 36 43 8 46 35 9 42 14 12 44 11 11 54 5 15 47 3 14 51 6 9 61 15 12 58 9 8 50 10 8 56 17 9 73 26 9 54 12 10 52 11 10 49 22 13 63 21 8 59 23 8 60 33 8 64 42 10 61 64 11 71 66 14 71 64 13 55 84 16 62 79 19 60 82 19 55 68 6 63 79 6 53 78 11 54 68 7 43 63 14 59 58 15 62 54 14 53 38 17 54 27 17 49 9 14 52 7 15 62 3 10 54 1 10 50 2 16 51 2 13 41 2 18 41 1 14 39 1 16 37 1 15 40 1 16 44 1 9 35 0 17 33 14 35 9
motion_solver.joint_of_pose_num_vars_all, 322 456 86 15 353 420 80 382 453 123 368 425 83 392 437 114 407 436 125 452 439 134 494 449 156 406 512 165 394 532 191 344 500 230 380 498 234 405 503 226 488 437 207 464 428 196 471 493 199 468 457 207 444 476 195 425 509 149 460 533 167 449 547 184 430 452 193 428 438 192 447 382 181 480 319 185 371 233 118 325 262 112 376 176 109 403 204 118 447 203 106 462 211 121 468 242 106 393 259 98 375 291 104 428 328 115 409 324 104 376 323 92 323 376 91 348 344 107 351 371 121 305 384 121 285 433 120 320 487 127 365 474 152 370 441 118 408 357 103 429 207 121 453 131 132 479 68 154 494 43 139 531 91 113 540 145 117 517 143 132 503 151 122 513 237 106 525 215 101 473 196 116 459 175 121 500 191 132 546 207 127 605 226 125 609 341 117 663 428 117 628 573 137 617 586 130 629 658 128 554 746 159 548 700 163 621 737 186 580 718 97 554 717 98 557 698 113 479 613 118 536 570 139 617 513 155 552 490 145 556 340 152 558 282 160 505 144 174 544 109 157 546 51 155 485 23 150 506 26 148 450 28 132 423 26 152 436 25 165 398 23 159 378 18 149 409 22 158 392 20 149 362 8 144 336 140 350 134
